date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:37	3367/3367	---M--	200	added ('OK')	image/png	etag:%220499b94dd6d31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Images/favicon3.png	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Images/favicon3.png	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2005%20Jun%202022%2014:20:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/betu/WinHTTrack/trial/www.googletagmanager.com/gtm.145445.delayed	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:38	15924/15924	---M--	200	added ('OK')	text/css	etag:%2209149a3392d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Content/Site.css	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Content/Site.css	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:38	14015/14015	---M--	200	added ('OK')	image/jpeg	etag:%22052a995b935d31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Images/suburban-logo6.jpg	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Images/suburban-logo6.jpg	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:39	8079/8079	---M--	200	added ('OK')	image/jpeg	etag:%2208e74f9a6b6d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Images/DashboardIcons/aunthenticator.jpg	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Images/DashboardIcons/aunthenticator.jpg	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:39	56234/56234	---M--	200	added ('OK')	image/jpeg	etag:%2208e74f9a6b6d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Images/DashboardIcons/calltodoctor.jpg	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Images/DashboardIcons/calltodoctor.jpg	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:39	9990/9990	---M--	200	added ('OK')	image/png	etag:%220e7eb8e62b3d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Images/stats.png	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Images/stats.png	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:40	287957/287957	---M--	200	added ('OK')	application/pdf	date:Sun,%2005%20Jun%202022%2014:20:39%20GMT	https://reports.suburbandiagnostics.com/ScanMe/Patient/DownloadReport?sid=177805176409&cid=2213217050&fileName=Normal-177805176409-17340599.pdf	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Patient/Reportc956.pdf	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:40	1799/1799	---M--	200	added ('OK')	image/png	etag:%224a9e2380a99dd41:0%22	https://reports.suburbandiagnostics.com/scanme/Content/pdf-icon.png	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/scanme/Content/pdf-icon.png	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:41	8176/8176	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2005%20Jun%202022%2014:20:41%20GMT	https://reports.suburbandiagnostics.com/ScanMe/Patient/GetBillWiseServiceReportData?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc%3D&t=21c%2FQAN%2FsulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc%3D&c=OnvHk5q6qsc%20a%2FAMVB7NXA%3D%3D&f=BT%2FRTTLwXzBF%20NQ7FQkdxA%3D%3D&GridBillWiseService-sort=STATUS_COLOR-asc	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Patient/GetBillWiseServiceReportData.1c2262.delayed	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
